id,name,resource_state
5107911,"bld Pierrefonds Aragon a Des Source",3
9296393,"Woodpark South",3
9296381,"Woodpark North",3
9761756,"Fredmir",3
9903057,"Will Homestretch 1",3
2219380,"Boulevard des Sources - de Salaberry",3
9903186,"Westpark Stretch",3
2219386,"de Salaberry - Boulevard des Sources",3
7246595,"Gouin / A13 - Sunnybrooke",3
4287829,"Bd Gouin O - From Bd Sunnybrooke to Autoroute Chomedey",3
5642098,"bois-de-liesse",3
7699214,"big o",3
8003078,"Rue Douglas Nord",3
9229339,"Sprint Guénette",3
7548356,"Ardene TT loop",3
5066846,"Levy + Dobrin",3
4178558,"Place Transcanadienne Climb",3
663577,"Dans le Bois-de-Liesse vers Est",3
4946233,"Sprint Alexie-Nihon - Thimens@Cote-Vertu",3
5019516,"Cavendish Sprint",3
4946246,"E. Hemingway - Celine-Marier@Cavendish",3
4946227,"E. Emingway - Cavendish@Poirier",3
4747609,"The Machine Segment",3
4946243,"E. Emingway - Poirier@Cavendish",3
4950097,"The Machine V2",3
7715355,"Rue de l'Église_Saint-Croix@Alexis-Nihon",3
8218165,"Authier",3
5677330,"Liesse Sprint",3
616310,"Côte de la Polytechnique",3
8042275,"Flat part 2 - Top of Polytech",3
5674754,"Chemin de la Rampe (avec élan par av. Louis-Collin)",3
674445,"Descente ch. de la Rampe",3
5136507,"Oratoire Saint-Joseph",3
2202269,"Graham_Kindersley@Glengarry",3
4446403,"Reverse Tit Sprint",3
7615912,"Côte Ste-Cath bump & descent",3
8341070,"Avenue Victoria N. (Vézina / Jean-Talon)",3
4782450,"Graham N-S",3
638378,"Camillien Houde",3
7795689,"Faux-Plat Camilien Houde",3
661925,"Descente de Camilien-Houde",3
674757,"Mount Pleasant",3
5356269,"Voie Camilien Houde IV",3
7015128,"remembrance pitch",3
695605,"Parc",3
3876533,"Canal Lachine détour (ouest)",3
5032748,"Atwater Climb",3
2027211,"Montée Berry (petite)",3
3984793,"Circuit Gilles-Villeneuve 4.03 km",3
4065389,"CGV REctiligne",3
5467272,"Les courbes CGV",3
7047331,"Pavillon du Canada Sprint",3
4487080,"CGV no hairpin - EO",3
3875673,"Salut Gilles (Sprint) Between the 2 overpasses",3
1568696,"GV Hairpin to finish line",3
5184907,"Habitat67 direction EST",3
5184935,"Habitat67 direction OUEST",3
2053809,"Pont de la concorde",3
7042759,"Flipper Ramp 116 - Direction sud",3
8422147,"Stratton-Legault Sud",3
8422124,"Legault-Stratton Nord",3
4612968,"Montée Overpass 116",3
7691904,"St-Helene Ouest - No Light - 1 de 2",3
4407608,"St-Hélène Est - Longueuil - No Light - 2 de 2",3
1735630,"Faux Paris-Roubaix North",3
4304348,"Faux Paris-Roubaix Sud",3
1844285,"116 Forest",3
8015813,"Churchill (tasch-victoria)",3
5055455,"Route de l'aéroport 2",3
7833651,"Montée St-Hubert to track (Sprint)",3
5100229,"Sprint du boisée",3
7389975,"Raoul II (Est)",3
2255330,"Raoul (est)",3
5541594,"Sprint Jacques Marcil (Nord)",3
7379139,"Tite rue de la piste cyclable",3
7454794,"Sprint Petro-Canada...Mitsubishi",3
5170376,"Moreau",3
5149036,"Rue Prince Charles",3
1729037,"Stretch Mtée du Village",3
4953439,"Côte de St-Joseph-du-lac",3
4996030,"Descente St-Joseph",3
5595648,"WCG : Ferries Loop : St-Joseph descent to Ultramar",3
1217574,"Chemin Principal Climb",3
4830794,"Chemin d'Oka - From Rue Louise to 5e Avenue",3
4140830,"Boulevard Industriel Climb",3
5083642,"Montée 2-Montagnes",3
7927700,"Rue les Érables à Rue Les Peupliers",3
7987796,"Erables TT",3
4830813,"Chemin d'Oka - From 20e Avenue to 8e Avenue",3
2654564,"Ch St-Antoine Westbound",3
8283439,"Montée Ste-Rose  21e Av - 9e Av",3
7911162,"Up St Antoine ",3
5650539,"The Island Sprint",3
9674356,"Sprint to the boat",3
7544476,"Ile Bigras",3
2821633,"Sprint Bord de L`eau",3
7543490,"Golf Sprint",3
1632870,"St Martin Est",3
9378444,"Montée Champagne Pt. 2 (Reverse)",3
7763548,"St-Martin de Champagne à Hotel de ville",3
4753454,"Sprint - Pierre - Hotel de Ville",3
5800805,"Hôtel-de-Ville à des Jacinthes",3
1632845,"Principale Ste-Dorothee",3
9378400,"Montée Champagne Pt. 2",3
8847403,"Bois St Do. East West",3
7579966,"Samson / pont 13",3
7983208,"Bd du Curé Labelle - A13",3
4691673,"Levesque - Samson - St-Max",3
4675140,"Levesque - St-Max - Samson",3
7342460,"A13 - Bd du Curé-Labelle",3
7750669,"Montee Chomeday Nord I",3
7523992,"Elodie Boucher",3
7599020,"Eliot sprint",3
9381672,"Chomedey Hydro Line Pt. 5 (Reverse)",3
7598926,"Souvenir bump",3
7360610,"Pont de Train",3
7364421,"Pont de Train",3
5021049,"Parc de la Merci E-O",3
4412355,"Parc de la Merci Ouest",3
7194275,"O'Brien - Rochon à Dudemaine",3
7246570,"Gouin / A15 - Laurentien",3
7301855,"Boul. des Prairies Sprint I (Est)",3
7301873,"Boul. des Prairies Sprint III (Est)",3
7624109,"Bocage St.",3
5238480,"Lajeunesse - Jarry/40 (no inters) ",3
7581150,"Sprint on Lajeunesse - Crémazie/Chabanel",3
7179741,"Sprint Jean-Talon - Jarry",3
7155603,"TMR Sprint GMA",3
8466759,"Rue Saint-Dominique S. (Jean-Talon / Avenue Mozart)",3
5136368,"La course des tomates N-S",3
8504564,"Rue Boyer S. (Everett / Jean-Talon)",3
2250660,"Boul. Graham Rockland-Laird",3
4853209,"Beaumont - Parc @ Graham",3
5652251,"St-Laurent (Chabanel-Sauvé)",3
662274,"Berri climb",3
1444878,"Berri hill",3
1821989,"Sous le viaduc St-Urbain ",3
7671659,"Pew pew pew ",3
5572973,"Rachel St-Denis-St-Laurent",3
3463240,"Saint Laurent",3
2499441,"Champlain (The Peak)",3
8340933,"Rue Saint-Grégoire O. (de Brébeuf / Christophe-Colomb)",3
4713442,"Parc Laf Straight",3
3903364,"Molson Upward Wind Tunnel",3
2296852,"montée du Pont J-C Ile Sainte-Hélène",3
847410,"Montée Pont JC",3
4233292,"Jacques-Cartier bridge North - To Ile St-Helene path",3
